DSC,Model,Dataset
0.9927719235420228,KD SAM,Fetal Head
0.973792314529419,KD SAM,Fetal Head
0.9293246865272522,KD SAM,Fetal Head
0.9891176223754884,KD SAM,Fetal Head
0.9689778089523317,KD SAM,Fetal Head
0.9951266646385192,KD SAM,Fetal Head
0.9918056726455688,KD SAM,Fetal Head
0.9925673604011536,KD SAM,Fetal Head
0.950782060623169,KD SAM,Fetal Head
0.9660764336586,KD SAM,Fetal Head
0.9877533316612244,KD SAM,Fetal Head
0.9772591590881348,KD SAM,Fetal Head
0.968837022781372,KD SAM,Fetal Head
0.9407070875167848,KD SAM,Fetal Head
0.9847918748855592,KD SAM,Fetal Head
0.96355539560318,KD SAM,Fetal Head
0.9783793091773988,KD SAM,Fetal Head
0.9458433985710144,KD SAM,Fetal Head
0.9476836919784546,KD SAM,Fetal Head
0.946431577205658,KD SAM,Fetal Head
0.9930216073989868,KD SAM,Fetal Head
0.9751434922218324,KD SAM,Fetal Head
0.9752699136734008,KD SAM,Fetal Head
0.982528805732727,KD SAM,Fetal Head
0.9857993125915528,KD SAM,Fetal Head
0.9914262294769288,KD SAM,Fetal Head
0.966868817806244,KD SAM,Fetal Head
0.9756924510002136,KD SAM,Fetal Head
0.9671558737754822,KD SAM,Fetal Head
0.9940993189811708,KD SAM,Fetal Head
0.9939450025558472,KD SAM,Fetal Head
0.9940804839134216,KD SAM,Fetal Head
0.9940183758735656,KD SAM,Fetal Head
0.9944452047348022,KD SAM,Fetal Head
0.985019326210022,KD SAM,Fetal Head
0.9585224986076356,KD SAM,Fetal Head
0.9865482449531556,KD SAM,Fetal Head
0.9838005900382996,KD SAM,Fetal Head
0.9782360792160034,KD SAM,Fetal Head
0.98977792263031,KD SAM,Fetal Head
0.9830719828605652,KD SAM,Fetal Head
0.9732572436332704,KD SAM,Fetal Head
0.99365496635437,KD SAM,Fetal Head
0.993537962436676,KD SAM,Fetal Head
0.9880822896957396,KD SAM,Fetal Head
0.9844335913658142,KD SAM,Fetal Head
0.9741867780685424,KD SAM,Fetal Head
0.98819237947464,KD SAM,Fetal Head
0.9950628876686096,KD SAM,Fetal Head
0.9826909899711608,KD SAM,Fetal Head
0.9947406053543092,KD SAM,Fetal Head
0.9900732040405272,KD SAM,Fetal Head
0.987849235534668,KD SAM,Fetal Head
0.9910966157913208,KD SAM,Fetal Head
0.9902387261390686,KD SAM,Fetal Head
0.9887468218803406,KD SAM,Fetal Head
0.9445030689239502,KD SAM,Fetal Head
0.9565424919128418,KD SAM,Fetal Head
0.9712529182434082,KD SAM,Fetal Head
0.9917206168174744,KD SAM,Fetal Head
0.980254054069519,KD SAM,Fetal Head
0.9803397059440612,KD SAM,Fetal Head
0.9867064356803894,KD SAM,Fetal Head
0.9649479985237122,KD SAM,Fetal Head
0.9755424857139589,KD SAM,Fetal Head
0.994128406047821,KD SAM,Fetal Head
0.9818700551986694,KD SAM,Fetal Head
0.991043508052826,KD SAM,Fetal Head
0.9941891431808472,KD SAM,Fetal Head
0.9555191397666932,KD SAM,Fetal Head
0.9549727439880372,KD SAM,Fetal Head
0.9700661897659302,KD SAM,Fetal Head
0.9942869544029236,KD SAM,Fetal Head
0.9359157681465148,KD SAM,Fetal Head
0.9585134387016296,KD SAM,Fetal Head
0.9906738996505736,KD SAM,Fetal Head
0.9926259517669678,KD SAM,Fetal Head
0.9880262613296508,KD SAM,Fetal Head
0.9949590563774108,KD SAM,Fetal Head
0.9932921528816224,KD SAM,Fetal Head
0.9618746042251588,KD SAM,Fetal Head
0.957094430923462,KD SAM,Fetal Head
0.9656171798706056,KD SAM,Fetal Head
0.9643198847770692,KD SAM,Fetal Head
0.95007985830307,KD SAM,Fetal Head
0.9946907758712769,KD SAM,Fetal Head
0.9935458898544312,KD SAM,Fetal Head
0.9853125810623168,KD SAM,Fetal Head
0.9884485006332396,KD SAM,Fetal Head
0.9862478375434875,KD SAM,Fetal Head
0.974820077419281,KD SAM,Fetal Head
0.9041369557380676,KD SAM,ISIC 2017 
0.9447951912879944,KD SAM,ISIC 2017 
0.9153718948364258,KD SAM,ISIC 2017 
0.926198422908783,KD SAM,ISIC 2017 
0.9227011799812316,KD SAM,ISIC 2017 
0.9056849479675292,KD SAM,ISIC 2017 
0.8654593229293823,KD SAM,ISIC 2017 
0.9197505712509156,KD SAM,ISIC 2017 
0.8629491329193115,KD SAM,ISIC 2017 
0.921800136566162,KD SAM,ISIC 2017 
0.9155017733573914,KD SAM,ISIC 2017 
0.9091496467590332,KD SAM,ISIC 2017 
0.8867456316947937,KD SAM,ISIC 2017 
0.8538711667060852,KD SAM,ISIC 2017 
0.9058448672294616,KD SAM,ISIC 2017 
0.9066280126571656,KD SAM,ISIC 2017 
0.8855597972869873,KD SAM,ISIC 2017 
0.9471319913864136,KD SAM,ISIC 2017 
0.9160366654396056,KD SAM,ISIC 2017 
0.8138584494590759,KD SAM,ISIC 2017 
0.942516565322876,KD SAM,ISIC 2017 
0.9153223633766174,KD SAM,ISIC 2017 
0.941067397594452,KD SAM,ISIC 2017 
0.8960164785385132,KD SAM,ISIC 2017 
0.917114794254303,KD SAM,ISIC 2017 
0.9501318335533142,KD SAM,ISIC 2017 
0.8897057771682739,KD SAM,ISIC 2017 
0.943631649017334,KD SAM,ISIC 2017 
0.9193524718284608,KD SAM,ISIC 2017 
0.8990662097930908,KD SAM,ISIC 2017 
0.9421240091323853,KD SAM,ISIC 2017 
0.939574420452118,KD SAM,ISIC 2017 
0.9032763242721558,KD SAM,ISIC 2017 
0.8256707191467285,KD SAM,ISIC 2017 
0.9201077222824096,KD SAM,ISIC 2017 
0.9673328995704652,KD SAM,ISIC 2017 
0.8799733519554138,KD SAM,ISIC 2017 
0.8924985527992249,KD SAM,ISIC 2017 
0.9383835196495056,KD SAM,ISIC 2017 
0.9164105653762816,KD SAM,ISIC 2017 
0.9603673815727234,KD SAM,ISIC 2017 
0.9585328102111816,KD SAM,ISIC 2017 
0.9182011485099792,KD SAM,ISIC 2017 
0.9137338399887084,KD SAM,ISIC 2017 
0.928292155265808,KD SAM,ISIC 2017 
0.9208182692527772,KD SAM,ISIC 2017 
0.902159869670868,KD SAM,ISIC 2017 
0.8256749510765076,KD SAM,ISIC 2017 
0.9260336756706238,KD SAM,ISIC 2017 
0.8968774080276489,KD SAM,ISIC 2017 
0.8842097520828247,KD SAM,ISIC 2017 
0.9084864854812622,KD SAM,ISIC 2017 
0.9271664023399352,KD SAM,ISIC 2017 
0.9191839694976808,KD SAM,ISIC 2017 
0.9392910599708556,KD SAM,ISIC 2017 
0.9261016249656676,KD SAM,ISIC 2017 
0.9294943809509276,KD SAM,ISIC 2017 
0.9463366866111756,KD SAM,ISIC 2017 
0.9165007472038268,KD SAM,ISIC 2017 
0.894416093826294,KD SAM,ISIC 2017 
0.9596669673919678,KD SAM,ISIC 2017 
0.9545029997825624,KD SAM,ISIC 2017 
0.932055413722992,KD SAM,ISIC 2017 
0.9386237263679504,KD SAM,ISIC 2017 
0.9320932626724244,KD SAM,ISIC 2017 
0.9544571042060852,KD SAM,ISIC 2017 
0.9541923999786376,KD SAM,ISIC 2017 
0.9174154996871948,KD SAM,ISIC 2017 
0.9386531114578248,KD SAM,ISIC 2017 
0.7912681102752686,KD SAM,ISIC 2017 
0.9444153904914856,KD SAM,ISIC 2017 
0.9371002316474916,KD SAM,ISIC 2017 
0.8862372040748596,KD SAM,ISIC 2017 
0.8390347957611084,KD SAM,ISIC 2017 
0.9464449882507324,KD SAM,ISIC 2017 
0.8271857500076294,KD SAM,ISIC 2017 
0.8971127867698669,KD SAM,ISIC 2017 
0.9037908315658568,KD SAM,ISIC 2017 
0.9596986770629884,KD SAM,ISIC 2017 
0.9258807897567748,KD SAM,ISIC 2017 
0.8441047072410583,KD SAM,ISIC 2017 
0.9044162034988404,KD SAM,ISIC 2017 
0.92930668592453,KD SAM,ISIC 2017 
0.9484950304031372,KD SAM,ISIC 2017 
0.9289714694023132,KD SAM,ISIC 2017 
0.9087547063827516,KD SAM,ISIC 2017 
0.9209553599357604,KD SAM,ISIC 2017 
0.9458710551261902,KD SAM,ISIC 2017 
0.8450596928596497,KD SAM,ISIC 2017 
0.8224002122879028,KD SAM,ISIC 2017 
0.9258542060852052,KD SAM,ISIC 2017 
0.9358161091804504,KD SAM,ISIC 2017 
0.9607573747634888,KD SAM,ISIC 2017 
0.8966220021247864,KD SAM,ISIC 2017 
0.9274420738220216,KD SAM,ISIC 2017 
0.9593380689620972,KD SAM,ISIC 2017 
0.8637470006942749,KD SAM,ISIC 2017 
0.8397431969642639,KD SAM,ISIC 2017 
0.9552181959152222,KD SAM,ISIC 2017 
0.8222280740737915,KD SAM,ISIC 2017 
0.8260271549224854,KD SAM,Kvasir-SEG
0.9286184310913086,KD SAM,Kvasir-SEG
0.9084290266036988,KD SAM,Kvasir-SEG
0.9001032710075378,KD SAM,Kvasir-SEG
0.9330353140830994,KD SAM,Kvasir-SEG
0.8896318078041077,KD SAM,Kvasir-SEG
0.8096714019775391,KD SAM,Kvasir-SEG
0.9032628536224364,KD SAM,Kvasir-SEG
0.745287299156189,KD SAM,Kvasir-SEG
0.879227340221405,KD SAM,Kvasir-SEG
0.9275476336479188,KD SAM,Kvasir-SEG
0.8529666662216187,KD SAM,Kvasir-SEG
0.8288501501083374,KD SAM,Kvasir-SEG
0.8648077845573425,KD SAM,Kvasir-SEG
0.9375597834587096,KD SAM,Kvasir-SEG
0.8049317002296448,KD SAM,Kvasir-SEG
0.8930081129074097,KD SAM,Kvasir-SEG
0.9314980506896972,KD SAM,Kvasir-SEG
0.8580664396286011,KD SAM,Kvasir-SEG
0.7854899168014526,KD SAM,Kvasir-SEG
